Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,475,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,1614,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,4500,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,8157,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,10270,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,12177,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,1,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,37314,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,2,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,26,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,99,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,443,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,1744,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,3935,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,5799,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,7078,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,2,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,19128,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,52,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,197,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,496,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1378,
